iter	Logloss
0	0.2558503271
1	0.2345937741
2	0.2271269234
3	0.2169339388
4	0.2115391152
5	0.2069367308
6	0.2048703358
7	0.20355694
8	0.2019282193
9	0.2002475413
10	0.1993393307
11	0.1980271228
12	0.1971414803
13	0.1961608301
14	0.195099581
15	0.1940504847
16	0.1932309488
17	0.1924263966
18	0.1907632309
19	0.1900883152
20	0.1895842335
21	0.1886603792
22	0.1878790332
23	0.1874432831
24	0.187042037
25	0.186227174
26	0.1856601892
27	0.1851675167
28	0.1846656642
29	0.1842824336
30	0.183997405
31	0.1833265526
32	0.1823928299
33	0.1819385903
34	0.1814616656
35	0.1810504797
36	0.1805051833
37	0.1796575549
38	0.1791613799
39	0.1782987199
40	0.1779230917
41	0.177656292
42	0.1773426064
43	0.1767320108
44	0.1760410548
45	0.1757575613
46	0.1754147242
47	0.1751035281
48	0.174804676
49	0.1742291119
50	0.1739310564
51	0.1736785397
52	0.1731592676
53	0.1728582403
54	0.1726062946
55	0.1720129818
56	0.1717327489
57	0.1714546556
58	0.1712356742
59	0.1710016963
60	0.1707822175
61	0.1705891922
62	0.1702242752
63	0.169827776
64	0.1694776843
65	0.1692059314
66	0.1685181892
67	0.1682136171
68	0.1680841358
69	0.1678654584
70	0.1676771259
71	0.1673603111
72	0.1670685517
73	0.1665062547
74	0.16597963
75	0.1655036214
76	0.1652356279
77	0.1647318272
78	0.1642625764
79	0.1640271401
80	0.1638764345
81	0.1636659132
82	0.1631944155
83	0.1630522923
84	0.1629266858
85	0.1628246126
86	0.1626137813
87	0.1623253765
88	0.1617903381
89	0.1615793456
90	0.1613421048
91	0.1611008186
92	0.1608158932
93	0.1606546935
94	0.1605593503
95	0.1602797114
96	0.1601306049
97	0.1599217178
98	0.1595136516
99	0.15938253
