iter	Passed	Remaining
0	55	5512
1	110	5405
2	180	5833
3	233	5604
4	291	5533
5	368	5780
6	434	5773
7	497	5716
8	554	5601
9	606	5455
10	662	5363
11	713	5234
12	769	5148
13	826	5076
14	873	4951
15	930	4883
16	985	4812
17	1037	4725
18	1103	4706
19	1155	4623
20	1206	4540
21	1264	4482
22	1312	4395
23	1373	4349
24	1424	4272
25	1474	4197
26	1542	4170
27	1597	4106
28	1644	4026
29	1697	3961
30	1753	3902
31	1807	3841
32	1862	3780
33	1912	3713
34	1968	3655
35	2027	3604
36	2088	3556
37	2153	3514
38	2206	3450
39	2261	3392
40	2321	3340
41	2378	3284
42	2429	3221
43	2480	3157
44	2531	3094
45	2585	3035
46	2639	2976
47	2691	2915
48	2761	2874
49	2815	2815
50	2867	2755
51	2921	2697
52	2971	2635
53	3029	2580
54	3082	2522
55	3136	2464
56	3189	2405
57	3245	2349
58	3312	2302
59	3377	2251
60	3437	2197
61	3489	2138
62	3553	2087
63	3612	2032
64	3673	1978
65	3725	1919
66	3776	1859
67	3831	1802
68	3893	1749
69	3958	1696
70	4029	1645
71	4084	1588
72	4136	1530
73	4188	1471
74	4248	1416
75	4309	1360
76	4368	1304
77	4423	1247
78	4476	1189
79	4528	1132
80	4579	1074
81	4633	1017
82	4699	962
83	4767	908
84	4820	850
85	4870	792
86	4927	736
87	4978	678
88	5026	621
89	5086	565
90	5146	509
91	5206	452
92	5273	396
93	5341	340
94	5397	284
95	5464	227
96	5518	170
97	5573	113
98	5635	56
99	5700	0
